timestamp,mid_price,b_p_0,b_p_1,b_p_2,b_p_3,b_p_4,b_q_0,b_q_1,b_q_2,b_q_3,b_q_4,a_p_0,a_p_1,a_p_2,a_p_3,a_p_4,a_q_0,a_q_1,a_q_2,a_q_3,a_q_4
1776570491.970745,2343.61,2343.61,2343.6,2343.59,2343.58,2343.57,6.8234,0.0322,0.0022,0.0066,0.0088,2343.62,2343.63,2343.64,2343.65,2343.66,14.196,0.0061,0.042,0.0044,0.0088
1776570492.97039,2343.61,2343.61,2343.6,2343.59,2343.58,2343.57,2.6101,0.0044,0.0022,0.0066,0.0088,2343.62,2343.63,2343.64,2343.65,2343.66,14.9865,0.0061,0.042,0.0044,0.0088
1776570493.970031,2343.61,2343.61,2343.6,2343.59,2343.58,2343.57,2.6101,0.0044,0.0022,0.0066,0.0088,2343.62,2343.63,2343.64,2343.65,2343.66,15.0102,0.0061,0.042,0.0044,0.0088
1776570494.9707258,2343.61,2343.61,2343.6,2343.59,2343.58,2343.57,2.6101,0.0044,0.0022,0.0066,0.0088,2343.62,2343.63,2343.64,2343.65,2343.66,14.9676,0.0061,0.042,0.0044,0.0088
1776570495.975465,2343.22,2343.22,2343.21,2343.2,2343.19,2343.17,0.0154,0.064,0.1177,0.0066,0.0022,2343.23,2343.24,2343.25,2343.26,2343.27,48.0171,0.007,31.6342,0.0022,0.0044
1776570496.999247,2343.22,2343.22,2343.21,2343.2,2343.19,2343.17,0.0198,0.064,0.1133,0.0022,0.0022,2343.23,2343.24,2343.25,2343.26,2343.27,24.7817,0.125,0.0044,0.0044,0.0044
1776570497.992033,2343.22,2343.22,2343.21,2343.2,2343.19,2343.17,3.0618,0.064,0.1133,0.0022,0.0022,2343.23,2343.24,2343.25,2343.26,2343.27,24.7817,0.125,0.0044,0.0044,0.0044
1776570499.047505,2343.11,2343.11,2343.1,2343.09,2343.08,2343.07,5.7942,0.0044,0.0022,0.0644,0.0045,2343.12,2343.13,2343.2,2343.22,2343.23,26.9877,2.5121,1.5253,0.0068,0.7638
1776570499.969908,2343.11,2343.11,2343.1,2343.09,2343.08,2343.07,3.0228,0.0088,0.0022,0.0066,0.0045,2343.12,2343.13,2343.17,2343.18,2343.19,29.6535,2.5121,0.1273,0.0022,0.2133
1776570500.9697301,2343.11,2343.11,2343.1,2343.09,2343.08,2343.07,2.693,0.0088,0.0022,0.0066,0.0045,2343.12,2343.13,2343.14,2343.17,2343.18,29.5047,2.5121,0.0044,0.1273,0.0022
