timestamp,mid_price,b_p_0,b_p_1,b_p_2,b_p_3,b_p_4,b_q_0,b_q_1,b_q_2,b_q_3,b_q_4,a_p_0,a_p_1,a_p_2,a_p_3,a_p_4,a_q_0,a_q_1,a_q_2,a_q_3,a_q_4
1776565694.974487,75488.88,75488.87,75488.86,75488.0,75487.81,75487.74,0.74157,0.00042,0.0012,7e-05,7e-05,75488.88,75488.89,75489.31,75489.96,75490.38,4.18309,0.54611,7e-05,0.01072,0.003
1776565695.949206,75488.88,75488.87,75488.86,75488.0,75487.81,75487.74,0.54529,0.00056,0.0012,7e-05,7e-05,75488.88,75488.89,75489.31,75490.08,75490.38,4.04595,0.41582,7e-05,7e-05,0.003
1776565696.9487941,75488.88,75488.87,75488.86,75488.0,75487.81,75487.74,0.54371,0.00049,0.0012,7e-05,7e-05,75488.88,75488.89,75489.13,75489.31,75490.38,4.04437,0.41582,0.00014,7e-05,0.003
1776565698.019762,75488.88,75488.87,75488.86,75488.0,75487.81,75487.74,0.54373,0.00049,0.0012,7e-05,7e-05,75488.88,75488.89,75489.31,75490.38,75490.83,4.05852,0.41582,7e-05,0.003,7e-05
1776565698.968162,75444.04,75444.03,75444.02,75443.72,75442.98,75442.29,1.16658,0.00014,7e-05,7e-05,0.00014,75444.04,75444.05,75444.06,75444.07,75444.08,1.50205,0.00014,0.00014,0.43755,7e-05
1776565699.991654,75447.86,75447.86,75447.85,75446.92,75446.91,75446.89,3.49286,0.00865,0.00662,0.003,7e-05,75447.87,75447.88,75448.0,75448.8,75449.46,0.1746,0.00014,0.00192,7e-05,0.00262
1776565700.9487848,75459.99,75459.99,75459.46,75459.45,75459.35,75459.34,2.84706,0.24578,0.00552,0.2392,0.22261,75460.0,75460.01,75460.35,75460.36,75460.52,0.35142,0.00014,0.00014,0.01641,7e-05
1776565701.948055,75459.99,75459.99,75459.98,75459.46,75459.45,75459.35,2.9341,0.00014,0.16656,0.00566,0.2392,75460.0,75460.01,75460.35,75460.36,75460.54,0.00262,0.0007,0.00014,0.01641,0.00014
1776565702.962205,75460.36,75460.35,75460.34,75460.14,75460.01,75460.0,4.25436,0.00021,0.003,0.42727,0.54494,75460.36,75460.37,75460.52,75460.55,75460.65,0.00126,0.00049,7e-05,0.00021,0.00014
1776565703.985769,75467.71,75467.7,75467.69,75465.81,75465.48,75465.36,3.65583,0.00014,0.003,8e-05,7e-05,75467.71,75467.72,75467.91,75468.0,75468.42,0.47652,0.00063,7e-05,0.00574,0.00067
1776565705.009999,75467.71,75467.7,75467.69,75467.0,75466.65,75466.6,2.23167,0.00021,0.00424,0.00133,7e-05,75467.71,75467.72,75467.91,75468.0,75468.05,0.74079,0.00077,7e-05,0.00574,0.00014
1776565705.948375,75467.71,75467.7,75467.69,75467.01,75467.0,75466.65,1.97496,0.00028,0.00026,0.00424,0.00133,75467.71,75467.72,75467.91,75468.0,75468.05,0.81102,0.00063,7e-05,0.00574,0.00014
1776565706.948273,75467.71,75467.7,75467.69,75467.01,75467.0,75466.65,1.9751,0.00049,0.00026,0.00424,0.00133,75467.71,75467.72,75467.91,75468.0,75468.05,1.00455,0.00063,7e-05,0.00574,0.00014
1776565707.948514,75467.71,75467.7,75467.69,75467.01,75467.0,75466.65,1.9751,0.00049,0.00026,0.00424,0.00133,75467.71,75467.72,75467.91,75468.0,75468.05,1.00733,0.0007,7e-05,0.00574,0.00014
1776565708.9492,75467.71,75467.7,75467.69,75467.25,75467.24,75467.23,1.05657,0.00063,0.00014,0.05735,0.05364,75467.71,75467.72,75467.91,75468.0,75468.05,1.0634,0.00077,7e-05,0.00574,0.00014
1776565709.948692,75467.71,75467.7,75467.69,75467.25,75467.24,75467.23,0.61453,0.0007,0.00014,0.00028,0.05378,75467.71,75467.72,75467.91,75468.0,75468.05,1.34118,0.00014,7e-05,0.00574,0.00014
1776565711.028213,75467.71,75467.7,75467.69,75467.35,75466.52,75465.36,0.00161,0.00021,7e-05,0.0018,7e-05,75467.71,75467.72,75467.89,75467.9,75467.91,3.49872,0.00014,1.59045,0.00688,7e-05
1776565711.9481652,75467.71,75467.7,75467.69,75467.35,75466.52,75465.84,0.00168,0.00021,7e-05,0.0018,7e-05,75467.71,75467.72,75467.89,75467.9,75467.91,6.80726,0.00014,1.43233,0.00688,7e-05
1776565712.948276,75457.8,75457.8,75457.79,75457.76,75457.55,75456.96,0.89192,0.00042,0.00349,0.0001,0.00133,75457.81,75457.82,75457.9,75459.34,75460.36,1.15165,0.00021,7e-05,0.00019,7e-05
1776565713.948831,75457.8,75457.8,75457.79,75457.76,75457.55,75456.96,0.81237,0.00049,0.00349,0.0001,0.00133,75457.81,75457.82,75457.9,75459.34,75460.35,1.10318,0.0007,7e-05,0.00019,0.00014
1776565714.948461,75457.8,75457.8,75457.79,75457.76,75457.55,75456.96,0.57319,0.00063,0.00349,0.0001,0.00133,75457.81,75457.82,75457.9,75459.34,75459.39,1.17722,0.00049,7e-05,0.00019,0.00014
1776565715.949033,75457.8,75457.8,75457.79,75457.76,75457.55,75456.96,0.37768,0.00056,0.00349,0.0001,0.00133,75457.81,75457.82,75457.9,75459.34,75459.4,1.36916,0.00021,7e-05,0.00019,0.05399
1776565716.990079,75457.8,75457.8,75457.79,75457.76,75456.96,75456.75,0.15868,0.00063,0.00349,0.00133,7e-05,75457.81,75457.82,75457.9,75458.25,75458.32,1.62671,0.00021,7e-05,0.003,0.09505
1776565718.014886,75457.8,75457.8,75457.79,75457.76,75456.96,75456.75,0.15466,0.0007,0.00349,0.00133,7e-05,75457.81,75457.82,75457.9,75458.25,75458.32,1.62378,0.00021,7e-05,0.003,0.09505
1776565718.948077,75457.8,75457.8,75457.79,75456.96,75456.75,75456.34,0.9512,0.00028,0.00133,7e-05,7e-05,75457.81,75457.82,75457.9,75458.32,75458.33,0.92217,0.00063,7e-05,0.00014,0.08014
1776565719.962003,75457.8,75457.8,75457.79,75456.96,75456.75,75456.36,0.95064,0.00028,0.00133,7e-05,0.003,75457.81,75457.82,75457.9,75459.34,75459.4,0.93626,0.0007,7e-05,0.00019,7e-05
1776565720.9863591,75465.21,75465.21,75464.73,75464.29,75464.2,75463.9,2.58334,0.4,0.3,0.85916,0.4,75465.22,75465.36,75465.4,75465.41,75465.44,0.01575,0.00307,0.00014,0.00014,0.00014
1776565721.949636,75467.71,75467.7,75467.69,75467.44,75466.02,75466.01,3.31724,0.00014,7e-05,0.00021,0.29758,75467.71,75467.72,75468.0,75468.08,75468.42,0.00127,0.00035,0.0012,7e-05,0.00067
1776565722.947969,75467.71,75467.7,75467.69,75467.44,75466.24,75466.03,3.29532,0.00014,7e-05,0.00133,0.01338,75467.71,75467.72,75468.0,75468.42,75468.86,0.45561,0.00063,0.0012,0.00067,7e-05
1776565723.9482439,75467.71,75467.7,75467.69,75467.44,75466.25,75466.24,3.28392,0.00014,7e-05,0.00676,0.00133,75467.71,75467.72,75468.0,75468.42,75468.86,0.45167,0.00042,0.0012,0.00067,7e-05
1776565724.9480262,75467.71,75467.7,75467.69,75467.44,75466.25,75466.24,3.28216,0.00014,7e-05,0.00676,0.00133,75467.71,75467.72,75468.0,75468.42,75468.86,0.39339,0.00042,0.0012,0.00067,7e-05
1776565725.9478881,75467.71,75467.7,75467.69,75467.44,75466.25,75466.24,3.28085,0.00014,7e-05,0.00676,0.00133,75467.71,75467.72,75468.0,75468.42,75468.86,0.40611,0.00049,0.0012,0.00067,7e-05
1776565726.948184,75467.71,75467.7,75467.69,75467.57,75467.44,75466.25,3.27952,0.00014,0.00133,7e-05,0.00676,75467.71,75467.72,75468.0,75468.42,75468.44,0.40503,0.00049,0.0012,0.00067,0.00014
1776565728.050306,75467.71,75467.7,75467.69,75467.57,75467.44,75466.25,3.27952,0.00014,0.00133,7e-05,0.00676,75467.71,75467.72,75468.0,75468.42,75468.44,0.39231,0.00056,0.0012,0.00067,0.00014
1776565728.9487748,75468.45,75468.44,75468.43,75467.72,75467.71,75467.7,4.25977,0.00014,0.1134,0.00019,0.15441,75468.45,75468.46,75469.09,75469.52,75469.68,1.05445,0.00063,7e-05,8e-05,8e-05
1776565729.995657,75468.45,75468.44,75468.43,75467.73,75467.72,75467.71,3.86051,0.00028,0.00014,0.04618,0.00033,75468.45,75468.46,75469.09,75469.52,75469.68,0.68557,0.0007,7e-05,8e-05,8e-05
1776565730.951658,75468.45,75468.44,75468.43,75467.73,75467.72,75467.71,3.86242,0.00028,0.00014,0.04618,0.00033,75468.45,75468.46,75469.09,75469.52,75469.68,0.62984,0.0007,7e-05,8e-05,8e-05
1776565731.948114,75468.45,75468.44,75468.43,75467.73,75467.72,75467.71,3.86091,0.00014,0.00014,0.06888,0.00033,75468.45,75468.46,75469.09,75469.52,75469.68,0.35236,0.00077,7e-05,8e-05,8e-05
1776565732.948534,75468.45,75468.44,75468.43,75467.73,75467.72,75467.71,3.86091,0.00014,0.00014,0.06888,0.00033,75468.45,75468.46,75469.09,75469.52,75469.68,0.40763,0.00084,7e-05,8e-05,8e-05
1776565733.948274,75468.45,75468.44,75468.43,75467.72,75467.71,75467.7,3.88294,0.00014,0.06888,0.00019,0.06152,75468.45,75468.46,75469.09,75469.52,75469.68,0.15848,0.0007,7e-05,8e-05,8e-05
1776565734.948631,75469.67,75469.67,75469.66,75469.65,75469.59,75469.51,3.51771,0.30032,7e-05,0.003,0.29765,75469.68,75469.69,75470.0,75470.22,75470.26,0.00148,0.00049,0.0012,7e-05,0.00133
